,date,type,year,avg_price,size,nb_sold
0,27-12-2015,conventional,2015,1.33,large,64236.62
1,20-12-2015,conventional,2015,1.35,extra_large,54876.98
2,13-12-2015,conventional,2015,0.93,large,118220.22
3,06-12-2015,conventional,2015,1.08,small,78992.15
4,29-11-2015,conventional,2015,1.28,small,51039.6
5,22-11-2015,conventional,2015,1.26,small,55979.78
6,15-11-2015,conventional,2015,0.99,small,83453.76
7,08-11-2015,conventional,2015,0.98,extra_large,109428.33
8,01-11-2015,conventional,2015,1.02,small,99811.42
9,25-10-2015,conventional,2015,1.07,small,74338.76
10,18-10-2015,conventional,2015,1.12,small,84843.44
11,11-10-2015,conventional,2015,1.28,medium,64489.17
12,04-10-2015,conventional,2015,1.31,small,61007.1
13,27-09-2015,conventional,2015,0.99,extra_large,106803.39
14,20-09-2015,conventional,2015,1.33,large,69759.01
15,13-09-2015,conventional,2015,1.28,small,76111.27
16,06-09-2015,conventional,2015,1.11,small,99172.96
17,30-08-2015,conventional,2015,1.07,extra_large,105693.84
18,23-08-2015,conventional,2015,1.34,small,79992.09
19,16-08-2015,conventional,2015,1.33,small,80043.78
20,09-08-2015,conventional,2015,1.12,extra_large,111140.93
21,02-08-2015,conventional,2015,1.45,medium,75133.1
22,26-07-2015,conventional,2015,1.11,medium,106757.1
23,19-07-2015,conventional,2015,1.26,extra_large,96617
24,12-07-2015,conventional,2015,1.05,extra_large,124055.31
25,05-07-2015,conventional,2015,1.35,extra_large,109252.12
26,28-06-2015,conventional,2015,1.37,medium,89534.81
27,21-06-2015,conventional,2015,1.27,small,104849.39
28,14-06-2015,conventional,2015,1.32,medium,89631.3
29,07-06-2015,conventional,2015,1.07,extra_large,122743.06
30,31-05-2015,conventional,2015,1.23,large,95123.62
31,24-05-2015,conventional,2015,1.19,small,101470.91
32,17-05-2015,conventional,2015,1.43,large,109857.47
33,10-05-2015,conventional,2015,1.26,medium,120427.91
34,03-05-2015,conventional,2015,1.2,large,59197.67
35,26-04-2015,conventional,2015,1.22,medium,49585.46
36,19-04-2015,conventional,2015,1.19,extra_large,49064.73
37,12-04-2015,conventional,2015,1.13,medium,48364.29
38,05-04-2015,conventional,2015,1.16,large,47362.13
39,29-03-2015,conventional,2015,1.02,large,67799.08
40,22-03-2015,conventional,2015,1.12,extra_large,46346.85
41,15-03-2015,conventional,2015,1.11,large,43045.79
42,08-03-2015,conventional,2015,1.07,small,40507.36
43,01-03-2015,conventional,2015,0.99,extra_large,55595.74
44,22-02-2015,conventional,2015,1.07,extra_large,45675.05
45,15-02-2015,conventional,2015,1.06,small,41567.62
46,08-02-2015,conventional,2015,0.99,large,51253.97
47,01-02-2015,conventional,2015,0.99,large,70873.6
48,25-01-2015,conventional,2015,1.06,small,45147.5
49,18-01-2015,conventional,2015,1.17,large,44511.28
50,11-01-2015,conventional,2015,1.24,large,41195.08
51,04-01-2015,conventional,2015,1.22,medium,40873.28
0,27-12-2015,conventional,2015,0.99,medium,386100.49
1,20-12-2015,conventional,2015,1.08,extra_large,331377.53
2,13-12-2015,conventional,2015,0.96,small,417772.47
3,06-12-2015,conventional,2015,1.07,large,357636.82
4,29-11-2015,conventional,2015,0.99,large,333280.79
5,22-11-2015,conventional,2015,1,large,356414.57
6,15-11-2015,conventional,2015,1.13,small,339860.68
7,08-11-2015,conventional,2015,1.12,large,334041.6
8,01-11-2015,conventional,2015,0.99,small,419088.74
9,25-10-2015,conventional,2015,1.09,medium,358478.08
10,18-10-2015,conventional,2015,1.09,small,349072.48
11,11-10-2015,conventional,2015,0.95,extra_large,433874.46
12,04-10-2015,conventional,2015,0.96,large,418682.26
13,27-09-2015,conventional,2015,1.07,extra_large,370321.17
14,20-09-2015,conventional,2015,0.93,extra_large,516432.6
15,13-09-2015,conventional,2015,1.07,medium,417232.18
16,06-09-2015,conventional,2015,0.97,extra_large,472136.53
17,30-08-2015,conventional,2015,1.15,extra_large,382972.72
18,23-08-2015,conventional,2015,1.12,small,379054.29
19,16-08-2015,conventional,2015,1.09,medium,465213.81
20,09-08-2015,conventional,2015,1.01,extra_large,503791.72
21,02-08-2015,conventional,2015,1.15,large,405898.44
22,26-07-2015,conventional,2015,1.08,medium,437377.75
23,19-07-2015,conventional,2015,0.97,small,557212.99
24,12-07-2015,conventional,2015,1.14,extra_large,407204.88
25,05-07-2015,conventional,2015,1.01,medium,562462.33
26,28-06-2015,conventional,2015,1.13,medium,435210.71
27,21-06-2015,conventional,2015,0.99,extra_large,554763.76
28,14-06-2015,conventional,2015,1.1,large,465804.78
29,07-06-2015,conventional,2015,0.99,small,551009.05
30,31-05-2015,conventional,2015,1.1,medium,454702
31,24-05-2015,conventional,2015,0.96,extra_large,623212.04
32,17-05-2015,conventional,2015,1.11,small,451250.7
33,10-05-2015,conventional,2015,1.1,small,480071.18
34,03-05-2015,conventional,2015,1,extra_large,634213.1
35,26-04-2015,conventional,2015,1.12,large,448596.76
36,19-04-2015,conventional,2015,1.12,extra_large,430966.34
37,12-04-2015,conventional,2015,0.99,large,451101.89
38,05-04-2015,conventional,2015,1.04,extra_large,383139.49
39,29-03-2015,conventional,2015,1.11,medium,365722.14
40,22-03-2015,conventional,2015,1,small,479590.62
41,15-03-2015,conventional,2015,1.12,small,399566.22
42,08-03-2015,conventional,2015,1.1,extra_large,420826.32
43,01-03-2015,conventional,2015,0.99,extra_large,512532.44
44,22-02-2015,conventional,2015,1.1,small,431308.56
45,15-02-2015,conventional,2015,1.06,extra_large,427391.28
46,08-02-2015,conventional,2015,1.03,small,433883.91
